scope,place,articles,publishers,outliers,topics,leader,leader_articles,leader_publishers
"country","Brasil","378","32","304","57","Samsung amplia portfólio premium de TVs no Brasil com novas Micro RGB, OLED, Neo QLED e The Frame Pro","3","3"
"country","Bulgária","90","4","66","23","HUAWEI WATCH GT 7 Series пристигна в България и разширява възможностите за спорт на открито с карти на над 3000 ски курорта","2","2"
"country","Camarões","3","1","3","0","","0","0"
"country","Canadá","27","3","21","6","Apple working on game controller under Beats brand: report","1","1"
"country","Catar","3","1","3","0","","0","0"
"country","Chéquia","102","11","86","14","Tim Cook odešel na důchod k Samsungu. Nějak se mu ale změnil přízvuk","2","3"
"country","Chile","27","5","23","4","Zelda: Ocarina of Time no Switch 2 traz 1080P e 60 FPS, mas com ausência importante","1","1"
"country","China","322","8","297","15","荣耀Magic9超能版首发11000mAh电池：史上电量最大的Magic旗舰","3","2"
"country","Colômbia","72","6","67","5","Sam Altman (OpenAI) advierte de que se puede perder el «control del futuro» ante la IA","1","1"
"country","Coreia do Sul","270","6","256","7","삼성디스플레이, '2K·165Hz' 스마트폰 OLED 개발…비보 'iQOO16' 탑재","2","2"
"country","Costa Rica","242","12","204","26","Laura Fernández reduce recorte al Poder Judicial a ¢11 mil millones, pero eleva tono y pone condiciones a magistrados","3","3"
"country","Croácia","23","2","21","2","EU KIDS Act: Europska komisija ovog tjedna predstavlja dobno stupnjevani pristup mrežama","1","1"
"country","Cuba","51","4","46","3","Rusia apoya las aspiraciones de Cuba de ingresar como miembro pleno en los BRICS, dice Moscú","2","2"
"country","Dominica","13","1","13","0","","0","0"
"country","Egito","11","2","9","2","Yemen's Houthi rebels seize more key islands in southern Red Sea, tighten grip on shipping routes","1","1"
"country","El Salvador","108","6","91","10","Iberojet inicia operaciones con vuelos directos entre El Salvador y España","5","3"
"country","Emirados Árabes Unidos","68","13","56","8","Mannai Information Technology and Oracle expand collaboration in Saudi Arabia","3","3"
"country","Equador","5","2","3","2","La ONU advierte que todos los derechos humanos “están en riesgo” ante el avance de la IA","1","1"
"country","Eslováquia","29","3","27","2","This one feature convinced me to use the Pixel 11","1","1"
"country","Eslovênia","0","0","0","0","","0","0"
"country","Espanha","131","8","117","13","Así puedes saber, en un solo vistazo, si un televisor es compatible con la nueva TDT en DVB-T2 y sirve para ver los nuevos canales en UHD 4K","2","1"
"country","Estados Unidos","788","57","656","92","Apple releases iOS 27 with Siri AI and these new iPhone features","3","3"
"country","Etiópia","1","1","1","0","","0","0"
"country","Fiji","28","2","28","0","","0","0"
"country","Filipinas","37","7","30","5","Xiaomi TV S Mini LED 2026 Series and New Mijia Washers Now Available in the Philippines","2","2"
"country","Finlândia","8","3","8","0","","0","0"
"country","França","254","10","211","33","Interdiction des réseaux sociaux aux moins de 15 ans : la France soumet une nouvelle version de son projet à Bruxelles","3","3"
"country","Gana","113","1","108","3","Africa must remove visa restrictions to unlock jobs, opportunities – Gabby Otchere-Darko","2","1"
"country","Granada","1","1","1","0","","0","0"
"country","Grécia","24","2","18","6","NVIDIA RTX PRO 5500 Blackwell oficjalnie. Na pokładzie 84 GB pamięci","1","1"
"country","Guatemala","118","5","96","17","Así estará el clima en Guatemala el 15 de septiembre y durante el resto de la semana","2","2"
"country","Haiti","7","1","5","1","Haïti - Économie : Cadre comptable des collectivités territoriales","2","1"
"country","Honduras","116","3","93","19","Marathón vence por la mínima al Olimpia y es líder del Apertura hondureño","2","2"
"country","Hong Kong (China)","30","3","26","4","Honor Magic 9 Super Edition tem especificações vazadas com chip Snapdragon e bateria gigante","1","1"
"country","Hungria","45","5","42","3","A Cyberpunk 2077 a Battle.netre költözik, Geralt pedig a Diablo IV-be","1","1"
"country","Ilhas Cayman","9","1","9","0","","0","0"
"country","Ilhas Cook","0","0","0","0","","0","0"
"country","Ilhas Virgens Britânicas","5","1","5","0","","0","0"
"country","Indonésia","48","4","42","6","Zelda-Remake: Offizielle Hyrule-Karte zeigt, was Spieler Neues erwartet","1","1"
"country","Irã","281","15","249","20","Xiaomi представила Pad 9 и Pad 9 Pro — относительно доступные планшеты на Snapdragon","3","3"
"country","Irlanda","7","1","7","0","","0","0"
"country","Israel","55","7","53","2","Nowy iOS 27 już jest. Wielka fala aktualizacji od Apple dostępna","1","1"
"country","Itália","215","6","178","27","Ecobonus, novità in arrivo: Governo valuta aumento della detrazione al 65%","3","3"
"country","Jamaica","32","3","26","3","Monday, September 14, 2026","2","1"
"country","Japão","249","14","229","13","SBI証券、「こどもNISA」事前受付は10月から","3","2"
"country","Letônia","0","0","0","0","","0","0"
"country","Líbano","1","1","1","0","","0","0"
"country","Malásia","52","6","43","5","Yes AI 30: RM30 postpaid with uncapped 5G, no FUP and free ILMUchat Pro","3","3"
"country","Marrocos","1","1","0","1","ChatGPTが本日もリセット。OpenAIがGPT-6 Astraの不具合3件を修正","1","1"
"country","México","55","6","44","9","Las pequeñas empresas mexicanas ya encontraron un aliado para vender más que en sus propias tiendas en línea: Mercado Libre","2","1"
"country","Nicaragua","5","1","4","1","ICE detiene en Florida al periodista nicaragüense exiliado Luis Galeano","1","1"
"country","Nicarágua","2","1","1","1","ICE detiene en Florida al periodista nicaragüense exiliado Luis Galeano","1","1"
"country","Nigéria","154","13","133","16","Dangote Thanks Tinubu for Fuel Subsidy, Forex Reforms as Refinery IPO Opens","2","2"
"country","Nova Zelândia","235","17","129","50","Reso launches AI dispute platform for New Zealand HR","5","5"
"country","Países Baixos","4","1","4","0","","0","0"
"country","Panamá","169","7","135","22","Thomas Christiansen apuesta al relevo generacional de Panamá rumbo al 2030","2","2"
"country","Papua-Nova Guiné","0","0","0","0","","0","0"
"country","Paraguai","2","1","1","1","Trump dice que la IA no necesita más control que tenerlo a él como presidente de Estados Unidos","1","1"
"country","Peru","15","1","10","5","La ONU advierte que todos los derechos humanos “están en riesgo” ante el avance de la IA","1","1"
"country","Polônia","283","15","236","39","Allegro otwiera biuro w Chinach. To ważniejsze niż myślisz","3","3"
"country","Porto Rico","57","3","47","7","Gobierno crea grupo especial para atender atrasos en pagos bajo nuevo sistema ERP","2","2"
"country","Portugal","75","4","66","9","Nova Renault Trafic elétrica: 470 km de autonomia e carregamento ultrarrápido","1","1"
"country","Quênia","21","5","14","5","Meta and This Is Digital launch AI Academy Kenya with startup pitchathon and practical training","2","2"
"country","Reino Unido","224","16","194","24","OpenAI Agent Swarm Hacks RubyGems Package Manager","2","2"
"country","República Dominicana","371","9","301","38","DGII ampliará Scoring Tributario a más de 200,000 pymes","3","3"
"country","Romênia","122","8","108","11","Comunicat oficial: Apple TV este acum disponibil în România","3","3"
"country","Rússia","281","10","227","41","Nvidia выпустила профессиональную видеокарту RTX Pro 5500 Blackwell Workstation Edition с 84 Гбайт GDDR7","2","2"
"country","São Cristóvão e Névis","2","1","2","0","","0","0"
"country","São Vicente e Granadinas","0","0","0","0","","0","0"
"country","Senegal","4","1","2","1","Washington : Cybastion annonce un engagement de 300 millions de dollars pour la transformation numérique du Sénégal","2","1"
"country","Sérvia","26","3","21","5","Apple releases iPadOS 27, here’s what’s new for iPad","1","1"
"country","Singapura","36","5","34","2","Z.ai completes around US$5 billion financing for next-generation GLM models","1","1"
"country","Suécia","35","1","32","3","Renaults nya pickup Niagara presenterad","1","1"
"country","Suíça","25","3","11","7","Ausgaben für digitale Aussenwerbung steigen um 12 Prozent","2","2"
"country","Suíça (edição africana)","6","1","6","0","","0","0"
"country","Suíça (edição Oriente Médio)","3","1","2","1","QNB Syria Brings Mastercard Payments to Global Reach","1","1"
"country","Tailândia","21","4","19","1","Salesforce เปิดตัว Trusted Enterprise AI Harness รากฐานใหม่สำหรับการใช้งาน AI ในองค์กร [PR]","2","1"
"country","Taiwan","175","7","167","6","Wiz警告3個JFrog Artifactory嚴重漏洞遭積極利用，部分漏洞被串連形成攻擊鏈","2","1"
"country","Tanzânia","1","1","1","0","","0","0"
"country","Trinidad e Tobago","0","0","0","0","","0","0"
"country","Tunísia","32","4","30","1","Centenaire de l’Hôtel Carlton Tunis (1926–2026) : Une célébration mémorable au cœur de l’histoire, de l’art et du patrimoine sur l’Avenue Habib Bourguiba","2","2"
"country","Turquia","353","20","269","56","WhatsApp'ta Durum Videolarını 2x Hızda İzleyebileceksiniz","3","3"
"country","Ucrânia","92","4","79","13","Valve's Steam Frame VR headset starts at $1,059 and ships with Half Life: Alyx","1","1"
"country","Uganda","0","0","0","0","","0","0"
"country","Uruguai","5","2","4","1","Η Microsoft ενσωματώνει το Grok στο Copilot για Word, Excel και PowerPoint","1","1"
"country","Venezuela","4","2","2","2","La urgencia de ralentizar la IA y perder contra China divide a EEUU tras alarma del sector","1","1"
"country","Vietnã","140","3","118","11","Quá hot: Giá tăng nhưng người Việt vẫn chi ra 300 tỷ để cọc iPhone mới","3","2"
"country","Zâmbia","5","1","4","1","Pan-African Payment and Settlement System (PAPSS) Targets Accelerated Adoption and Transaction Growth as Network Expands Across Africa","1","1"
"country","Zimbábue","12","2","10","1","Zimbabwe’s Internet Penetration Rate Rises to 87.39% in Q1 2026","2","1"
"globe","Globo","8696","568","7238","610","NVIDIA RTX PRO 5500 Blackwell oficjalnie. Na pokładzie 84 GB pamięci","7","7"
